"time_from","time_to","tile_from","tile_to","probL"
380,390,1362,1362,2.25838884835029e-19
390,400,1362,1362,2.2583925074408e-19
400,410,1362,1362,2.25839550115515e-19
410,420,1362,1362,2.25839782954552e-19
420,430,1362,1362,2.2583994926525e-19
430,440,1362,1362,2.2584004905051e-19
440,450,1362,1362,2.25840082312069e-19
450,460,1362,1362,2.25840049050509e-19
460,470,1362,1362,2.2583994926525e-19
470,480,1362,1362,2.25839782954551e-19
480,490,1362,1362,2.25839550115514e-19
490,500,1362,1362,2.2583925074408e-19
500,510,1362,1362,2.25838884835029e-19
510,520,1362,1362,2.25838452381984e-19
520,530,1362,1362,2.25837953377405e-19
530,540,1362,1362,2.25837387812592e-19
540,550,1362,1362,2.25836755677688e-19
550,560,1362,1362,2.25836056961673e-19
560,570,1362,1362,2.25835291652365e-19
570,580,1362,1362,2.25834459736424e-19
580,590,1362,1362,2.25833561199348e-19
590,600,1362,1362,2.25832596025474e-19
600,610,1362,1362,2.25831564197975e-19
610,620,1362,1362,2.25830465698867e-19
620,630,1362,1362,2.25829300508999e-19
630,640,1362,1362,2.2582806860806e-19
640,650,1362,1362,2.25826769974576e-19
650,660,1362,1362,2.2582540458591e-19
660,670,1362,1362,2.25823972418261e-19
670,680,1362,1362,2.25822473446665e-19
680,690,1362,1362,2.25820907644993e-19
690,700,1362,1362,2.25819274985951e-19
700,710,1362,1362,2.25817575441082e-19
710,720,1362,1362,2.25815808980772e-19
720,730,1362,1362,2.25813975574407e-19
730,740,1362,1362,2.2581207519286e-19
740,750,1362,1362,2.25810107848589e-19
750,760,1362,1362,2.25808074242731e-19
760,770,1362,1362,2.25805986210603e-19
770,780,1362,1362,2.25804035374634e-19
780,790,1362,1362,2.25805316495009e-19
790,800,1362,1362,2.2585980544978e-19
800,810,1362,1362,2.26774554241896e-19
810,820,1362,1362,2.41582677868776e-19
820,830,1362,1362,4.80757833774156e-19
830,840,1362,1362,4.34328001341767e-18
840,850,1362,1362,6.67200158938637e-17
850,860,1362,1362,1.07405605650044e-15
860,870,1362,1362,1.73417581900884e-14
870,880,1362,1362,2.80052652297193e-13
880,890,1362,1362,4.52263164507413e-12
0,10,1363,1362,4.46448993761121e-19
10,20,1363,1362,5.71994095648459e-20
20,30,1363,1362,7.32845256543539e-21
30,40,1363,1362,9.3894776452698e-22
40,50,1363,1362,1.20319648887049e-22
50,60,1363,1362,1.54364238844891e-23
60,70,1363,1362,1.99872273023749e-24
70,80,1363,1362,2.77089440531635e-25
80,90,1363,1362,5.65274236139434e-26
90,100,1363,1362,2.82837900294893e-26
100,110,1363,1362,2.46801439399372e-26
110,120,1363,1362,2.42334008080982e-26
120,130,1363,1362,2.41911305545123e-26
130,140,1363,1362,2.42006894365774e-26
140,150,1363,1362,2.42168963853012e-26
150,160,1363,1362,2.42339627408625e-26
160,170,1363,1362,2.42511468419944e-26
170,180,1363,1362,2.42683536554756e-26
180,190,1363,1362,2.42855709950627e-26
190,200,1363,1362,2.43027972889616e-26
200,210,1363,1362,2.43200323252466e-26
210,220,1363,1362,2.43372760661372e-26
220,230,1363,1362,2.43545284960779e-26
230,240,1363,1362,2.43717896022731e-26
240,250,1363,1362,2.43890593721928e-26
250,260,1363,1362,2.4406337793252e-26
260,270,1363,1362,2.44236248527699e-26
270,280,1363,1362,2.44409205379635e-26
280,290,1363,1362,2.44582248359468e-26
290,300,1363,1362,2.44755377337299e-26
300,310,1363,1362,2.44928592182188e-26
310,320,1363,1362,2.45101892762143e-26
320,330,1363,1362,2.4527527894412e-26
330,340,1363,1362,2.45448750594015e-26
340,350,1363,1362,2.45622307576659e-26
350,360,1363,1362,2.45795949755811e-26
360,370,1363,1362,2.45969676994155e-26
370,380,1363,1362,2.46143489153292e-26
380,390,1363,1362,2.46317386093735e-26
390,400,1363,1362,2.46491367674906e-26
400,410,1363,1362,2.46665433755124e-26
410,420,1363,1362,2.46839584191606e-26
420,430,1363,1362,2.47013818840459e-26
430,440,1363,1362,2.47188137556671e-26
440,450,1363,1362,2.47362540194111e-26
450,460,1363,1362,2.47537026605517e-26
460,470,1363,1362,2.47711596642495e-26
470,480,1363,1362,2.47886250155511e-26
480,490,1363,1362,2.48060986993885e-26
490,500,1363,1362,2.48235807005785e-26
500,510,1363,1362,2.48410710038222e-26
510,520,1363,1362,2.48585695937044e-26
520,530,1363,1362,2.48760764546927e-26
530,540,1363,1362,2.48935915711374e-26
540,550,1363,1362,2.49111149272704e-26
550,560,1363,1362,2.49286465072049e-26
560,570,1363,1362,2.49461862949347e-26
570,580,1363,1362,2.49637342743336e-26
580,590,1363,1362,2.49812904291545e-26
590,600,1363,1362,2.49988547430293e-26
600,610,1363,1362,2.50164271994679e-26
610,620,1363,1362,2.50340077818577e-26
620,630,1363,1362,2.50515964734628e-26
630,640,1363,1362,2.50691932574235e-26
640,650,1363,1362,2.50867981167559e-26
650,660,1363,1362,2.51044110343506e-26
660,670,1363,1362,2.51220319929728e-26
670,680,1363,1362,2.51396609752612e-26
680,690,1363,1362,2.51572979637275e-26
690,700,1363,1362,2.51749429407555e-26
700,710,1363,1362,2.5192595888601e-26
710,720,1363,1362,2.52102567893917e-26
720,730,1363,1362,2.52279256251443e-26
730,740,1363,1362,2.52456023780416e-26
740,750,1363,1362,2.52632870349198e-26
750,760,1363,1362,2.5280979659731e-26
760,770,1363,1362,2.52986815641028e-26
770,780,1363,1362,2.53164142205824e-26
780,790,1363,1362,2.53345248840837e-26
790,800,1363,1362,2.53586254177536e-26
800,810,1363,1362,2.54794054100008e-26
810,820,1363,1362,2.71624547869232e-26
820,830,1363,1362,5.40926058234394e-26
830,840,1363,1362,4.89032498716372e-25
840,850,1363,1362,7.51769046983964e-24
850,860,1363,1362,1.21105454624499e-22
860,870,1363,1362,1.95676372145973e-21
870,880,1363,1362,3.16223037776223e-20
880,890,1363,1362,5.11038519901257e-19
0,10,1321,1362,0
10,20,1321,1362,0
20,30,1321,1362,0
30,40,1321,1362,0
40,50,1321,1362,0
50,60,1321,1362,0
60,70,1321,1362,0
70,80,1321,1362,0
80,90,1321,1362,0
90,100,1321,1362,0
100,110,1321,1362,0
110,120,1321,1362,0
120,130,1321,1362,0
130,140,1321,1362,0
140,150,1321,1362,0
150,160,1321,1362,0
160,170,1321,1362,0
170,180,1321,1362,0
180,190,1321,1362,0
190,200,1321,1362,0
200,210,1321,1362,0
210,220,1321,1362,0
220,230,1321,1362,0
230,240,1321,1362,0
240,250,1321,1362,0
250,260,1321,1362,0
260,270,1321,1362,0
270,280,1321,1362,0
280,290,1321,1362,0
290,300,1321,1362,0
300,310,1321,1362,0
310,320,1321,1362,0
320,330,1321,1362,0
330,340,1321,1362,0
340,350,1321,1362,0
350,360,1321,1362,0
360,370,1321,1362,0
370,380,1321,1362,0
380,390,1321,1362,0
390,400,1321,1362,0
400,410,1321,1362,0
410,420,1321,1362,0
420,430,1321,1362,0
430,440,1321,1362,0
440,450,1321,1362,0
450,460,1321,1362,0
