t,Antenna ID,Event Code,Device ID,x,y, Tile ID
0,23,0,346,942.950338,4679.033309,723
0,21,0,75,914.296405,6605.963567,1043
0,25,0,631,1384.937491,3645.300443,565
0,32,0,606,7201.143931,8064.266666,1308
0,19,0,481,174.390061,8015.457227,1280
0,19,0,448,1232.807283,7446.740395,1164
0,21,0,106,207.081110,6279.955198,1000
0,19,0,438,198.222148,8111.081094,1280
0,23,0,477,53.950745,5097.797083,800
0,25,0,91,1765.193800,3568.602354,567
0,15,0,101,6747.720775,2245.533419,346
0,15,0,136,6522.622984,1914.131542,306
0,15,0,140,6728.953656,2221.938972,346
0,60,0,208,5722.179679,4686.542616,742
0,23,0,104,1229.554089,4398.194260,684
0,17,0,525,4785.738707,9071.514311,1459
0,17,0,542,4786.145536,9819.874047,1579
0,11,0,230,8633.959721,2800.857976,474
0,61,0,81,8419.141600,1926.630961,313
10,22,2,512,2661.522798,8358.689051,1330
10,40,2,537,4979.468030,2649.765509,419
10,26,2,445,2947.733247,3456.657929,531
10,53,1,379,7560.753952,3800.756611,630
10,67,0,623,9371.042653,5284.078621,877
10,34,1,97,9482.938819,9084.837056,1477
10,36,2,190,7200.633256,7671.742215,1228
10,44,2,627,6802.706081,2720.846374,427
10,31,2,134,6809.276111,6811.827963,1107
10,54,1,685,8378.145732,3703.108754,593
10,56,2,197,9060.892757,1928.045288,316
10,43,2,698,9659.323307,5107.582225,838
10,31,0,775,6817.676779,5963.184230,947
10,23,2,719,1328.347221,5011.592055,805
10,31,2,343,7027.431915,6109.482705,988
10,66,2,334,4871.884751,3855.272343,619
10,38,1,244,3793.648617,3805.877810,615
10,38,2,560,3890.058433,3266.797822,535
10,61,2,366,8669.083952,2509.088639,434
10,22,2,723,2366.712940,6838.177703,1089
10,22,2,280,1832.778181,8718.126629,1367
10,63,2,256,4397.228779,1449.900252,217
10,22,2,499,2604.379777,7927.451572,1250
10,23,2,220,472.071622,4877.408297,761
10,25,2,158,1737.164322,4089.871843,646
10,46,0,100,6631.944958,2345.350355,386
10,56,2,717,9294.089357,2578.278734,437
10,28,2,743,3857.185404,6856.350018,1095
10,63,2,146,5229.266618,1782.405177,300
10,49,2,494,5068.507346,1037.470764,180
10,22,2,214,2971.361906,8235.981239,1291
10,37,2,453,1210.679693,2361.409094,364
10,28,2,781,4288.701527,6923.685812,1097
10,26,2,734,3297.085277,3318.549129,533
